qid,docid,docno,rank,score,query
Q1,1515,2046605252250767422,0,7.771937087039289,Hormuz strait Iran
Q1,2259,2048868969210429866,1,7.379253074006121,Hormuz strait Iran
Q1,391,2033152984365027591,2,7.16490767107063,Hormuz strait Iran
Q1,1727,2047109318873399388,3,6.932332553658249,Hormuz strait Iran
Q1,469,2036027055003881722,4,6.930628177233098,Hormuz strait Iran
Q1,370,2032091960664592554,5,6.685897770369695,Hormuz strait Iran
Q1,2202,2048863550471540843,6,6.628396015482394,Hormuz strait Iran
Q1,1882,2047769366650052800,7,6.533425721830751,Hormuz strait Iran
Q1,1625,2046880915184615757,8,6.441138416510123,Hormuz strait Iran
Q1,1881,2047764663035986009,9,6.441138416510123,Hormuz strait Iran
Q1,2146,2048748443687141599,10,6.351421988222185,Hormuz strait Iran
Q1,1495,2046565898706645291,11,6.264170486102727,Hormuz strait Iran
Q1,2313,2048872964100112624,12,6.264170486102727,Hormuz strait Iran
Q1,1921,2047996842839851127,13,6.0431477109244245,Hormuz strait Iran
Q1,1931,2048036263505154515,14,6.016229900413199,Hormuz strait Iran
Q1,2293,2048871390820913221,15,5.937887875670065,Hormuz strait Iran
Q1,1366,2045179849690464406,16,5.867850527160253,Hormuz strait Iran
Q1,1618,2046858724367888407,17,5.861559929328575,Hormuz strait Iran
Q1,1733,2047119120102043775,18,5.861559929328575,Hormuz strait Iran
Q1,1493,2046562908285399484,19,5.787169377841252,Hormuz strait Iran
Q1,2257,2048868836019957787,20,5.7146433817165345,Hormuz strait Iran
Q1,1151,2043922204157694393,21,5.681425864218322,Hormuz strait Iran
Q1,2213,2048865202947682391,22,5.574911507971516,Hormuz strait Iran
Q1,1485,2046533917256114488,23,5.507577116403663,Hormuz strait Iran
Q1,1497,2046567139101016463,24,5.441849858012401,Hormuz strait Iran
Q1,1513,2046603487971336511,25,5.441849858012401,Hormuz strait Iran
Q1,1829,2047488443333370267,26,5.441849858012401,Hormuz strait Iran
Q1,2248,2048868167381057881,27,5.441849858012401,Hormuz strait Iran
Q1,2057,2048407131825783067,28,5.377724163159151,Hormuz strait Iran
Q1,562,2039162364579156192,29,5.377672872925847,Hormuz strait Iran
Q1,610,2040106314265661953,30,5.377672872925847,Hormuz strait Iran
Q1,1868,2047732300750938301,31,5.377672872925847,Hormuz strait Iran
Q1,783,2041517601319514498,32,5.314991952254584,Hormuz strait Iran
Q1,1409,2045478539915628670,33,5.253755385375467,Hormuz strait Iran
Q1,1525,2046630390757302671,34,5.135420117770475,Hormuz strait Iran
Q1,1777,2047365076714401993,35,5.135420117770475,Hormuz strait Iran
Q1,1790,2047389080695328842,36,5.135420117770475,Hormuz strait Iran
Q1,1813,2047407910670524637,37,5.135420117770475,Hormuz strait Iran
Q1,1302,2045132305883111888,38,5.024772090417962,Hormuz strait Iran
Q1,235,2019791359498920260,39,5.022298178258289,Hormuz strait Iran
Q1,236,2019794248233570718,40,5.022298178258289,Hormuz strait Iran
Q1,1572,2046691700546904495,41,4.967585718683079,Hormuz strait Iran
Q1,2133,2048709928647344633,42,4.967585718683079,Hormuz strait Iran
Q1,152,1937496710059565219,43,4.914052477922368,Hormuz strait Iran
Q1,2178,2048843228292743422,44,4.914052477922368,Hormuz strait Iran
Q1,2144,2048734714517696540,45,4.861660738842653,Hormuz strait Iran
Q1,2361,2048876691078910085,46,4.861660738842653,Hormuz strait Iran
Q1,242,2023739392066556120,47,4.810374375844441,Hormuz strait Iran
Q1,1318,2045139846092444138,48,4.777339226122369,Hormuz strait Iran
Q1,1347,2045158565447434702,49,4.775573735873554,Hormuz strait Iran
Q1,943,2042291786794590513,50,4.760158771791954,Hormuz strait Iran
Q1,1306,2045133183092420754,51,4.760158771791954,Hormuz strait Iran
Q1,1509,2046591902493892952,52,4.760158771791954,Hormuz strait Iran
Q1,413,2034312521167876194,53,4.710980740092118,Hormuz strait Iran
Q1,1314,2045135674244735060,54,4.692344716736944,Hormuz strait Iran
Q1,2106,2048620972471927104,55,4.662808451554255,Hormuz strait Iran
Q1,105,1924347769172496806,56,4.662029318983663,Hormuz strait Iran
Q1,151,1937280338733982195,57,4.634317319393226,Hormuz strait Iran
Q1,917,2042088641720127656,58,4.60687240452039,Hormuz strait Iran
Q1,1280,2045127088655519760,59,4.60687240452039,Hormuz strait Iran
Q1,1083,2043376370596594138,60,4.579693026976267,Hormuz strait Iran
Q1,1268,2045085593663918214,61,4.579693026976267,Hormuz strait Iran
Q1,295,2028420681340211294,62,4.552777510136887,Hormuz strait Iran
Q1,1092,2043424960853819509,63,4.552777510136887,Hormuz strait Iran
Q1,120,1933634371430592864,64,4.524026700002505,Hormuz strait Iran
Q1,2274,2048870005064790136,65,4.524026700002505,Hormuz strait Iran
Q1,1322,2045143117657952637,66,4.507119281156793,Hormuz strait Iran
Q1,1759,2047278856386593280,67,4.499730785063591,Hormuz strait Iran
Q1,213,2015337785000153258,68,4.447716713272868,Hormuz strait Iran
Q1,1326,2045145356141506704,69,4.383405599974571,Hormuz strait Iran
Q1,2316,2048873252328530178,70,4.351344721373267,Hormuz strait Iran
Q1,1320,2045141270931136914,71,4.343694678570952,Hormuz strait Iran
Q1,1276,2045123636856602795,72,4.295344429547917,Hormuz strait Iran
Q1,1353,2045162376631320705,73,4.290820353210076,Hormuz strait Iran
Q1,1859,2047693387038355861,74,4.196989347634337,Hormuz strait Iran
Q1,1317,2045139466164019545,75,4.15632395391191,Hormuz strait Iran
Q1,459,2035736886304723059,76,4.155657159923691,Hormuz strait Iran
Q1,1295,2045130530488713492,77,4.155657159923691,Hormuz strait Iran
Q1,1299,2045131644584005644,78,4.155657159923691,Hormuz strait Iran
Q1,1218,2044634246187213163,79,4.090134564229567,Hormuz strait Iran
Q1,1346,2045156544468095142,80,4.090134564229567,Hormuz strait Iran
Q1,1283,2045127570564243877,81,4.050581865009695,Hormuz strait Iran
Q1,1281,2045127280024773030,82,4.026020258721042,Hormuz strait Iran
Q1,1284,2045127767289659677,83,4.026020258721042,Hormuz strait Iran
Q1,1337,2045150431471362500,84,4.026020258721042,Hormuz strait Iran
Q1,240,2022807460583489879,85,4.008967956133146,Hormuz strait Iran
Q1,1290,2045128858123350457,86,3.9638849603927513,Hormuz strait Iran
Q1,941,2042286290172068186,87,3.950770676007653,Hormuz strait Iran
Q1,1282,2045127314644586980,88,3.918600891070793,Hormuz strait Iran
Q1,1275,2045123605529543017,89,3.9036384332936716,Hormuz strait Iran
Q1,1324,2045143388958171426,90,3.9036384332936716,Hormuz strait Iran
Q1,1378,2045182794498728129,91,3.8451958452750015,Hormuz strait Iran
Q1,1294,2045130184559333635,92,3.7884773694468437,Hormuz strait Iran
Q1,1358,2045174291214504011,93,3.7804972048454935,Hormuz strait Iran
Q1,1272,2045122588888683007,94,3.7657953694909074,Hormuz strait Iran
Q1,1349,2045159014053388430,95,3.7657953694909074,Hormuz strait Iran
Q1,1330,2045146116300370031,96,3.7449324501059555,Hormuz strait Iran
Q1,1331,2045146324752888114,97,3.7449324501059555,Hormuz strait Iran
Q1,185,1963237063429337106,98,3.7383889315277807,Hormuz strait Iran
Q1,845,2041785127701807519,99,3.7383889315277807,Hormuz strait Iran
Q2,627,2040380146545303725,0,11.339927917723212,revolutionary guard Iran
Q2,1164,2044098266221117610,1,10.53902236326045,revolutionary guard Iran
Q2,1316,2045139247947227189,2,10.110574391743768,revolutionary guard Iran
Q2,696,2041122180629410079,3,9.975396190341014,revolutionary guard Iran
Q2,1931,2048036263505154515,4,9.8437849589521,revolutionary guard Iran
Q2,1231,2044764969854488962,5,9.01152477151839,revolutionary guard Iran
Q2,700,2041131308701700320,6,8.860473456251292,revolutionary guard Iran
Q2,1178,2044297122573328670,7,8.710088379319574,revolutionary guard Iran
Q2,669,2040856508599279955,8,8.49830733908415,revolutionary guard Iran
Q2,1378,2045182794498728129,9,8.188482584666838,revolutionary guard Iran
Q2,248,2024500690027208943,10,8.127988190165286,revolutionary guard Iran
Q2,730,2041253672819343467,11,8.067698554350562,revolutionary guard Iran
Q2,679,2040992658156408928,12,8.04039683828426,revolutionary guard Iran
Q2,1127,2043748548471108056,13,8.04039683828426,revolutionary guard Iran
Q2,2269,2048869798981845261,14,8.018311264339506,revolutionary guard Iran
Q2,408,2034083975275417883,15,7.954673217069116,revolutionary guard Iran
Q2,817,2041629529723248646,16,7.954673217069116,revolutionary guard Iran
Q2,1050,2043230105628295174,17,7.95042597279515,revolutionary guard Iran
Q2,1833,2047549034206990341,18,7.870758217636251,revolutionary guard Iran
Q2,943,2042291786794590513,19,7.78859519925781,revolutionary guard Iran
Q2,697,2041124056456458278,20,7.5135558609353,revolutionary guard Iran
Q2,1064,2043290769583206582,21,7.5135558609353,revolutionary guard Iran
Q2,2306,2048872235620794671,22,7.476409582109442,revolutionary guard Iran
Q2,1038,2043157123522244731,23,7.411738454584684,revolutionary guard Iran
Q2,1042,2043168734316273888,24,7.411738454584684,revolutionary guard Iran
Q2,1055,2043249111991034293,25,7.411738454584684,revolutionary guard Iran
Q2,757,2041467362700841228,26,7.386823670388721,revolutionary guard Iran
Q2,667,2040843878840811547,27,7.1221963624388245,revolutionary guard Iran
Q2,854,2041832001406173449,28,7.093867480240247,revolutionary guard Iran
Q2,225,2017133169082863969,29,7.050433303497297,revolutionary guard Iran
Q2,2046,2048376992060293546,30,7.030644848976737,revolutionary guard Iran
Q2,686,2041063308657049979,31,6.941417142712066,revolutionary guard Iran
Q2,759,2041470318363984127,32,6.941417142712066,revolutionary guard Iran
Q2,685,2041059796082630768,33,6.854425876356532,revolutionary guard Iran
Q2,758,2041468338421846139,34,6.854425876356532,revolutionary guard Iran
Q2,912,2042026005116723241,35,6.854425876356532,revolutionary guard Iran
Q2,1025,2043073140511674714,36,6.854425876356532,revolutionary guard Iran
Q2,2250,2048868436340879402,37,6.854425876356532,revolutionary guard Iran
Q2,890,2041922607675494476,38,6.769588008034152,revolutionary guard Iran
Q2,675,2040961337115681159,39,6.686824556873679,revolutionary guard Iran
Q2,855,2041832394496307541,40,6.686824556873679,revolutionary guard Iran
Q2,226,2017161637883486218,41,6.52722383365996,revolutionary guard Iran
Q2,1081,2043367716011016347,42,6.52722383365996,revolutionary guard Iran
Q2,1267,2045076329758871681,43,6.52722383365996,revolutionary guard Iran
Q2,987,2042624023540973721,44,6.450246784024417,revolutionary guard Iran
Q2,1134,2043772436248965407,45,6.450246784024417,revolutionary guard Iran
Q2,589,2039732425329152448,46,6.37506418803294,revolutionary guard Iran
Q2,941,2042286290172068186,47,6.37506418803294,revolutionary guard Iran
Q2,1140,2043820435490451862,48,6.322932124710899,revolutionary guard Iran
Q2,793,2041530563753054467,49,6.229837085754911,revolutionary guard Iran
Q2,619,2040320391953211872,50,6.159676849447523,revolutionary guard Iran
Q2,1022,2043032600453779565,51,6.159676849447523,revolutionary guard Iran
Q2,1105,2043606829318721757,52,6.09107929912461,revolutionary guard Iran
Q2,1222,2044664917781881028,53,6.09107929912461,revolutionary guard Iran
Q2,1704,2047037956687368343,54,6.023992801015607,revolutionary guard Iran
Q2,1375,2045181234683547872,55,5.894157554994708,revolutionary guard Iran
Q2,1021,2043032319779328178,56,5.831316312231551,revolutionary guard Iran
Q2,1073,2043326843780997436,57,5.831316312231551,revolutionary guard Iran
Q2,760,2041471812475695319,58,5.769800912204337,revolutionary guard Iran
Q2,815,2041626070399492601,59,5.769800912204337,revolutionary guard Iran
Q2,907,2041978164705132714,60,5.769800912204337,revolutionary guard Iran
Q2,989,2042638730662678791,61,5.769800912204337,revolutionary guard Iran
Q2,1172,2044180566572961802,62,5.769800912204337,revolutionary guard Iran
Q2,1371,2045180805798928759,63,5.769800912204337,revolutionary guard Iran
Q2,1644,2046937378921840676,64,5.769800912204337,revolutionary guard Iran
Q2,819,2041633844802068870,65,5.709569833408505,revolutionary guard Iran
Q2,834,2041690304802136352,66,5.709569833408505,revolutionary guard Iran
Q2,916,2042077140275933595,67,5.709569833408505,revolutionary guard Iran
Q2,917,2042088641720127656,68,5.709569833408505,revolutionary guard Iran
Q2,994,2042704796571082816,69,5.709569833408505,revolutionary guard Iran
Q2,1027,2043079785606263253,70,5.709569833408505,revolutionary guard Iran
Q2,1076,2043347735936487820,71,5.709569833408505,revolutionary guard Iran
Q2,1082,2043370816688079280,72,5.709569833408505,revolutionary guard Iran
Q2,1129,2043754133945987519,73,5.709569833408505,revolutionary guard Iran
Q2,1163,2044089922982649980,74,5.702209661521783,revolutionary guard Iran
Q2,221,2016895598029656493,75,5.650583270203159,revolutionary guard Iran
Q2,723,2041223624690979184,76,5.650583270203159,revolutionary guard Iran
Q2,779,2041505141761941681,77,5.650583270203159,revolutionary guard Iran
Q2,805,2041573835456098807,78,5.650583270203159,revolutionary guard Iran
Q2,1083,2043376370596594138,79,5.650583270203159,revolutionary guard Iran
Q2,1084,2043380442435658054,80,5.650583270203159,revolutionary guard Iran
Q2,1099,2043483889696477425,81,5.650583270203159,revolutionary guard Iran
Q2,1168,2044136965088419915,82,5.650583270203159,revolutionary guard Iran
Q2,1321,2045142699603272012,83,5.650583270203159,revolutionary guard Iran
Q2,1386,2045185668197069263,84,5.650583270203159,revolutionary guard Iran
Q2,644,2040583970157433065,85,5.5928030450829604,revolutionary guard Iran
Q2,684,2041057560120164829,86,5.5928030450829604,revolutionary guard Iran
Q2,724,2041224272442728633,87,5.5928030450829604,revolutionary guard Iran
Q2,764,2041473155336675708,88,5.5928030450829604,revolutionary guard Iran
Q2,818,2041630219145019473,89,5.5928030450829604,revolutionary guard Iran
Q2,857,2041835756512055497,90,5.5928030450829604,revolutionary guard Iran
Q2,1026,2043078756114534791,91,5.5928030450829604,revolutionary guard Iran
Q2,1092,2043424960853819509,92,5.5928030450829604,revolutionary guard Iran
Q2,1101,2043511750663045238,93,5.5928030450829604,revolutionary guard Iran
Q2,1585,2046718176524894668,94,5.5928030450829604,revolutionary guard Iran
Q2,650,2040681122493862295,95,5.545302873857414,revolutionary guard Iran
Q2,735,2041272834836566461,96,5.5361925262779526,revolutionary guard Iran
Q2,864,2041856642388541623,97,5.5361925262779526,revolutionary guard Iran
Q2,872,2041892624752103895,98,5.5361925262779526,revolutionary guard Iran
Q2,905,2041975617802150183,99,5.5361925262779526,revolutionary guard Iran
Q3,76,1851722418638798923,0,8.494516308735733,supreme leader Iran
Q3,743,2041329353255227434,1,7.862965557322246,supreme leader Iran
Q3,909,2041979048478273699,2,7.734661419680815,supreme leader Iran
Q3,1085,2043382231994130437,3,7.608477650795148,supreme leader Iran
Q3,862,2041851209233977356,4,7.4873127710355,supreme leader Iran
Q3,1091,2043416241323573250,5,7.4873127710355,supreme leader Iran
Q3,1001,2042841960411439367,6,7.397205105942078,supreme leader Iran
Q3,939,2042283564201279622,7,7.266482676486682,supreme leader Iran
Q3,725,2041226127361155509,8,7.256202949023174,supreme leader Iran
Q3,940,2042285167403024731,9,7.123641084421923,supreme leader Iran
Q3,1062,2043276443149565998,10,7.038933195803837,supreme leader Iran
Q3,823,2041652041152377093,11,6.935105568190853,supreme leader Iran
Q3,945,2042297199455838407,12,6.834296430632969,supreme leader Iran
Q3,971,2042427545522749578,13,6.834296430632969,supreme leader Iran
Q3,1002,2042852748056465743,14,6.834296430632969,supreme leader Iran
Q3,964,2042343832587530364,15,6.736376038217739,supreme leader Iran
Q3,1003,2042863157425705399,16,6.736376038217739,supreme leader Iran
Q3,714,2041191059212861518,17,6.641221976832105,supreme leader Iran
Q3,716,2041197877607772248,18,6.641221976832105,supreme leader Iran
Q3,761,2041472008869851408,19,6.641221976832105,supreme leader Iran
Q3,822,2041651975146606999,20,6.641221976832105,supreme leader Iran
Q3,963,2042340463856976032,21,6.600926491398018,supreme leader Iran
Q3,715,2041193014966505622,22,6.548718652621357,supreme leader Iran
Q3,835,2041690421710000443,23,6.4587568235288355,supreme leader Iran
Q3,143,1936600833225076779,24,6.371233168924743,supreme leader Iran
Q3,747,2041356402208162029,25,6.371233168924743,supreme leader Iran
Q3,1023,2043061052804382872,26,6.303909383975331,supreme leader Iran
Q3,961,2042335225028686131,27,6.286049893759278,supreme leader Iran
Q3,306,2028968010401112477,28,6.203114364051606,supreme leader Iran
Q3,1072,2043325641043452383,29,6.1223387708583275,supreme leader Iran
Q3,1236,2044799934067581288,30,6.1223387708583275,supreme leader Iran
Q3,873,2041893075359035492,31,6.088535060851505,supreme leader Iran
Q3,1016,2042994145980006565,32,6.056220830783687,supreme leader Iran
Q3,796,2041546858108276974,33,6.04363982015883,supreme leader Iran
Q3,1230,2044760428287258719,34,6.04363982015883,supreme leader Iran
Q3,1008,2042928374646030441,35,5.966938446355105,supreme leader Iran
Q3,1778,2047365262689653044,36,5.892159547314448,supreme leader Iran
Q3,937,2042267020025074046,37,5.819231739088558,supreme leader Iran
Q3,373,2032162209023856804,38,5.748087128625121,supreme leader Iran
Q3,139,1935451943360479269,39,5.678661102950716,supreme leader Iran
Q3,145,1936790276540178516,40,5.678661102950716,supreme leader Iran
Q3,1137,2043790684029632994,41,5.610892133448974,supreme leader Iran
Q3,825,2041653522727411981,42,5.48009359176662,supreme leader Iran
Q3,958,2042332581614477464,43,5.48009359176662,supreme leader Iran
Q3,1009,2042933456632447058,44,5.48009359176662,supreme leader Iran
Q3,946,2042297432432615708,45,5.416954809854883,supreme leader Iran
Q3,1486,2046547113446924778,46,5.416954809854883,supreme leader Iran
Q3,888,2041917081164120344,47,5.355254360494467,supreme leader Iran
Q3,371,2032114436945645765,48,5.2949436483126675,supreme leader Iran
